original,reconstructed,org_homo,org_lumo,homo,lumo
CCCCCCCCC1=C2C(C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C6SC(/C=C(C7=O)\C(C8=CC=CC=C78)=C(C#N)/C#N)=C5)=C6SC2=C(CCCCCCCC)C9=C1SC%10=C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC(/C=C(C%14=O)/C(C%15=CC=CC=C%14%15)=C(C#N)/C#N)=C%13,CCCCCC1C[NH2+]1,-5.36,-3.89,,
CCCCCCOC1=CC=CC(C2(C3=CC(OCCCCCC)=CC=C3)C(C(SC(/C=C(C4=O)\C(C5=CC(Cl)=C(Cl)C=C45)=C(C#N)/C#N)=C6)=C6S7)=C7C8=CC9=C(C(SC%10=C%11SC(/C=C(C%12=O)/C(C%13=CC(Cl)=C(Cl)C=C%12%13)=C(C#N)/C#N)=C%10)=C%11C9(C%14=CC(OCCCCCC)=CC=C%14)C%15=CC(OCCCCCC)=CC=C%15)C=C28)=C1,CCCCOCCCO,-5.78,-4.05,,
CCCCCCC1=CC=C(C=C1)C(C2=CC(C(SC3=C4SC(C(C=C5C(N6C(CCCCC)CCCCC)=O)=C7C8=CC=C(C9=C8C(C%10=CC=C(C6=O)C5=C7%10)=CC=C9C%11=O)C(N%11C(CCCCC)CCCC)=O)=C3)=C4C%12(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)=C%12C=C%152)(C%16=CC=C(CCCCCC)C=C%16)C%17=C%15SC%18=C%17SC(C(C=C%19C(N%20C(CCCCC)CCCCC)=O)=C%21C%22=CC=C(C%23=C%22C(C%24=CC=C(C%20=O)C%19=C%21%24)=CC=C%23C%25=O)C(N%25C(CCCCC)CCCCC)=O)=C%18,CS,,,,
O=C(N(C1=O)CC(CC)CCCC)C2=C(C3=CC=C(C4=CC=C(N(C5=CC=C(C6=CC=C(C7=C(C(N(CC(CC)CCCC)C8=O)=O)C(C8=CC=C9C%10=C%11OCCOC)=C9C(C%12=CC=C(C%13=O)C(C(C(N%13CC(CC)CCCC)=O)=C%11)=C%12%10)=C7)S6)C=C5)C%14=CC=C(C%15=CC=C(C%16=C(C(N(CC(CC)CCCC)C%17=O)=O)C(C%17=CC=C%18C%19=C%20OCCOC)=C%18C(C%21=CC=C(C%22=O)C(C(C(N%22CC(CC)CCCC)=O)=C%20)=C%21%19)=C%16)S%15)C=C%14)C=C4)S3)C=C(C%23=CC=C(C%24=O)C%25=C%23%26)C%27=C2C1=CC=C%27C%26=C(C=C%25C(N%24CC(CC)CCCC)=O)OCCOC,N#CC(=Cc1ccc(C=Cc2ccc([O-])c3sc(C=C(C#N)C(=O)O)cc23)s1)C(=O)O,-5.6,-3.8,,
CCC(N1C(/C=C/C2=CC=C(/C=C/C3=NC(C#N)=C(C#N)N3C(CC)CCCC)C4=NSN=C24)=NC(C#N)=C1C#N)CCCC,CCC=NCCCC,-6.1,-3.6,,
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C4=CC(C(SC(C(SC(/C=C(C5=O)/C(C6=CC=CC=C56)=C(C#N)\C#N)=C7)=C7/C=C/C8=CC=C(CCCCCC)S8)=C9)=C9C%10(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)=C%10C=C4C%13=C2C=C(C(SC(/C=C(C%14=O)/C(C%15=CC=CC=C%14%15)=C(C#N)/C#N)=C%16)=C%16/C=C/C%17=CC=C(CCCCCC)S%17)S%13)C=C1,CS,,,,
O=C1C(/C(C2=CSC(C)=C12)=C(C#N)\C#N)=C\C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C(C9=CC=C(CC(CC)CCCC)S9)C%10=C(SC%11=C%10C(C%12=CC=C(CCCCCC)C=C%12)(C%13=CC=C(CCCCCC)C=C%13)C%14=C%11SC(/C=C(C%15=O)\C(C%16=CSC(C)=C%15%16)=C(C#N)\C#N)=C%14)C(C%17=CC=C(CC(CC)CCCC)S%17)=C68)=C7S3,CC(C=O)COC=O,-5.59,-3.86,,
CCC(CCCC)COC1=C2C(C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C6SC(/C=C(C7=O)/C(C8=CSC(C)=C78)=C(C#N)\C#N)=C5)=C6SC2=C(OCC(CC)CCCC)C9=C1SC%10=C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC(/C=C(C%14=O)\C(C%15=CSC(C)=C%14%15)=C(C#N)/C#N)=C%13,CCCCCc1ccc(-c2ccc(-c3cc4cc(C)sc4c4cc(C)sc34)s2)s1,-5.42,-3.94,,
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C(C(SC(C(C=C(OC)C(/C=C(C#N)/C#N)=C4)=C4OC)=C5)=C5S6)=C6C7=CC8=C(C(SC9=C%10SC(C(C=C(OC)C(/C=C(C#N)/C#N)=C%11)=C%11OC)=C9)=C%10C8(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C=C27)C=C1,CS,-5.98,-3.81,,
CCCCCCC1(C2=CC(C(SC(/C=C(C3=O)/C(C4=CC(Cl)=C(Cl)C=C34)=C(C#N)\C#N)=C5)=C5C6(CCCCCC)CCCCCC)=C6C=C2C7=C1C=C(/C=C(C8=O)/C(C9=CC(Cl)=C(Cl)C=C89)=C(C#N)\C#N)S7)CCCCCC,CS,-4.01,-5.81,,
